Title,Video ID,Duration,Views,Published At,duration_readable,duration_min,duration_minutes,months_since_release,views_por_mes
Volumes de sólido | coordenadas polares | Integral dupla,-_H4Pf_5b_s,PT13M19S,1103,2021-02-10 19:28:02+00:00,13:19,13.316666666666666,0,56,20
Coordenadas polares | Revisão conceitual,mnJd5XppzZ0,PT6M51S,539,2021-02-10 18:49:02+00:00,6:51,6.85,0,56,10
Integral dupla | revisão conceitual,cKAkWY_0BW0,PT16M33S,840,2021-02-10 18:39:42+00:00,16:33,16.55,0,56,15
integral dupla coordenadas polares | integral dupla com raiz quadrada,ymhoXLYx6gA,PT12M5S,1071,2021-02-10 15:30:05+00:00,12:05,12.083333333333334,0,56,19
integral dupla coordenadas polares | exemplo 01,CN29_ffY8q8,PT14M27S,1153,2021-02-09 02:56:48+00:00,14:27,14.45,0,56,21
Coordenadas Polares | Regiões de integração em coordenadas polares,JJT83yyAtQo,PT15M24S,1559,2021-02-09 00:58:55+00:00,15:24,15.4,0,56,28
coordenadas polares  | exercícios resolvidos | coordenadas polares para cartesianas e vice-versa,8DW7YmaEf74,PT12M40S,10445,2021-02-08 23:44:02+00:00,12:40,12.666666666666666,0,56,187
Coordenadas polares | Aula 01,1doo9oTeZNA,PT19M17S,1458,2021-02-08 22:49:48+00:00,19:17,19.28333333333333,0,56,26
Integral dupla cálculo de volume | exercício resolvido,oegQfmbR980,PT15M16S,2014,2021-02-03 15:32:58+00:00,15:16,15.266666666666667,0,56,36
Integral dupla sobre regiões mais gerais | regiões não retangulares | exemplo 02,FcZ6bv-vl7c,PT5M37S,1747,2021-02-03 13:31:26+00:00,5:37,5.616666666666666,0,56,31
Integral dupla triangulo vértices | regiões mais gerais,nDuCkNCB3Cw,PT13M50S,4723,2021-02-03 12:38:32+00:00,13:50,13.833333333333334,0,56,84
Integral dupla sobre regiões mais gerais | regiões não retangulares,FXG3KbJn27c,PT13M22S,2539,2021-02-03 00:46:34+00:00,13:22,13.366666666666667,0,56,45
Integral dupla introdução,tFUG5JQApho,PT11M43S,7686,2021-02-01 20:22:14+00:00,11:43,11.716666666666669,0,56,137
Integral Dupla sobre Retângulos| Exemplo 03,xd_oA7sWV0Y,PT7M56S,2515,2021-02-01 16:28:05+00:00,7:56,7.933333333333334,0,56,45
Integral Dupla sobre Retângulos| Exemplo 02,MyQEqKCyBNg,PT12M10S,3771,2021-02-01 15:31:24+00:00,12:10,12.166666666666666,0,56,67
Cálculo 3 | Curso Completo,NajkIpWWDtk,PT54S,10469,2021-02-01 15:25:14+00:00,0:54,0.9,0,56,187
Redução de dimensionalidade | Análise de Componentes Principais | Interpretação,9-E2D8gTSA8,PT39M19S,1347,2021-01-29 02:27:13+00:00,39:19,39.31666666666667,0,57,24
PCA - Análise de componente principais | Interpretação,ffSpLrAHjmE,PT24M15S,402,2021-01-29 00:35:52+00:00,24:15,24.25,0,57,7
Matriz covariância | Machine Learning,uFAILLxdajk,PT36M6S,1922,2021-01-29 00:03:48+00:00,36:06,36.1,0,57,34
Introdução ao Machine Learning | O que é?,I4hZD3OSw4k,PT1H30M4S,518,2021-01-28 13:18:59+00:00,90:04,90.06666666666666,0,57,9
Construção matemática do SVM - aula 03,1DiR1ma7ebg,PT24M31S,115,2021-01-21 00:57:30+00:00,24:31,24.516666666666666,0,57,2
SVM Núcleos - aula 02,EfP4zJpUP54,PT30M42S,132,2021-01-21 00:56:08+00:00,30:42,30.7,0,57,2
Introdução ao Naive Bayes,PjMaer0Sui8,PT11M30S,463,2021-01-06 14:42:48+00:00,11:30,11.5,0,57,8
Teorema do Divergente e aplicação a campo elétrico produzido por carga pontual,RjuA9hdN-3Y,PT20M26S,671,2020-12-05 19:59:17+00:00,20:26,20.433333333333334,0,58,12
Interpretação do divergente,7OMKFeU_dD0,PT15M7S,523,2020-12-05 18:29:01+00:00,15:07,15.116666666666667,0,58,9
Teorema do Divergente,s0rM42xufng,PT38M35S,729,2020-12-04 22:52:12+00:00,38:35,38.583333333333336,0,58,13
Teorema do divergente: exemplos,YAgJr4_cu88,PT13M31S,1960,2020-12-03 19:59:17+00:00,13:31,13.516666666666667,0,58,34
Teorema de Stokes | Exercício Resolvido: hiperboloide,i5ShP5qdp-Y,PT22M4S,2180,2020-12-02 15:24:58+00:00,22:04,22.066666666666663,0,58,38
Teorema de Stokes | Exercícios resolvidos,c4qxoccjt4Y,PT16M29S,9217,2020-12-01 23:04:02+00:00,16:29,16.483333333333334,0,58,159
Teorema de Stokes e a interpretação do rotacional,m6ZONz-f48A,PT11M34S,1163,2020-12-01 19:35:17+00:00,11:34,11.566666666666666,0,58,20
Integral de superfície de campos vetoriais (exemplos),w7PFgaWsaho,PT22M31S,830,2020-11-20 03:20:46+00:00,22:31,22.516666666666666,0,59,14
Aplicações da integral de superfície escalar,xrKwA8vUtAQ,PT18M37S,755,2020-11-20 01:33:24+00:00,18:37,18.616666666666667,0,59,13
integral de superfície de campos vetoriais,Kg_RNDBXiYs,PT24M47S,366,2020-11-19 23:22:40+00:00,24:47,24.78333333333333,0,59,6
